experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
basin_depth,depth,,0,0.0,0,fca6,fca6,True,0,correct,0,True
basin_depth,depth,,0,0.0625,1,fca7,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.0625,1,fca4,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.0625,1,fca2,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.0625,1,fcae,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.0625,1,fcb6,fca6,True,5,correct,0,True
basin_depth,depth,,0,0.0625,1,fc86,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.0625,1,fce6,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.0625,1,fc26,fca6,True,9,correct,0,True
basin_depth,depth,,0,0.0625,1,fda6,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.0625,1,fea6,fca6,True,5,correct,0,True
basin_depth,depth,,0,0.0625,1,f8a6,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.0625,1,f4a6,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.0625,1,eca6,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.0625,1,dca6,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.0625,1,bca6,fca6,True,11,correct,0,True
basin_depth,depth,,0,0.0625,1,7ca6,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,fca5,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,fca3,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.125,2,fcaf,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.125,2,fcb7,fca6,True,5,correct,0,True
basin_depth,depth,,0,0.125,2,fc87,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.125,2,fce7,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.125,2,fc27,bd07,True,15,wrong_pattern,3,False
basin_depth,depth,,0,0.125,2,fda7,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.125,2,fea7,fca6,True,5,correct,0,True
basin_depth,depth,,0,0.125,2,f8a7,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,f4a7,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.125,2,eca7,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.125,2,dca7,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,bca7,fca6,True,11,correct,0,True
basin_depth,depth,,0,0.125,2,7ca7,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,fca0,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.125,2,fcac,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.125,2,fcb4,fca6,True,5,correct,0,True
basin_depth,depth,,0,0.125,2,fc84,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,fce4,fca6,True,6,correct,0,True
basin_depth,depth,,0,0.125,2,fc24,fca6,True,9,correct,0,True
basin_depth,depth,,0,0.125,2,fda4,fca6,True,4,correct,0,True
basin_depth,depth,,0,0.125,2,fea4,fca6,True,5,correct,0,True
basin_depth,depth,,0,0.125,2,f8a4,f8a4,False,740,oscillated,-1,False
basin_depth,depth,,0,0.125,2,f4a4,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.125,2,eca4,fca6,True,7,correct,0,True
basin_depth,depth,,0,0.125,2,dca4,dca4,False,740,oscillated,-1,False
basin_depth,depth,,0,0.125,2,bca4,fca6,True,11,correct,0,True
basin_depth,depth,,0,0.125,2,7ca4,7ca4,False,740,oscillated,-1,False
